"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"161","JPM","JPMorgan Chase & Co.","Акции иностранного эмитента обыкновенные","US46625H1005","10.08.2022"
"162","K","Kellogg Company","Акции иностранного эмитента обыкновенные","US4878361082","17.08.2022"
"163","KD","Kyndryl Holdings, Inc.","Акции иностранного эмитента обыкновенные","US50155Q1004","17.08.2022"
"164","KHC","The Kraft Heinz Company","Акции иностранного эмитента обыкновенные","US5007541064","10.08.2022"
"165","KIM","Kimco Realty Corporation","Акции иностранного эмитента обыкновенные","US49446R1095","17.08.2022"
"166","KMB","Kimberly-Clark Corporation","Акции иностранного эмитента обыкновенные","US4943681035","10.08.2022"
"167","KMI","Kinder Morgan, Inc.","Акции иностранного эмитента обыкновенные класса P","US49456B1017","17.08.2022"
"168","KNX","Knight-Swift Transportation Holdings Inc.","Акции иностранного эмитента обыкновенные","US4990491049","17.08.2022"
"169","KO","THE COCA-COLA COMPANY","Акции иностранного эмитента обыкновенные","US1912161007","10.08.2022"
"170","LEN","Lennar Corporation","Акции иностранного эмитента обыкновенные класса A","US5260571048","10.08.2022"
"171","LEVI","Levi Strauss & Co.","Акции иностранного эмитента обыкновенные класса A","US52736R1023","10.08.2022"
"172","LI","Deutsche Bank Trust Company Americas","Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций класса A Li Auto Inc.","US50202M1027","10.08.2022"
"173","LIN","Linde plc","Акции иностранного эмитента обыкновенные","IE00BZ12WP82","17.08.2022"
"174","LLY","Eli Lilly and Company","Акции иностранного эмитента обыкновенные","US5324571083","10.08.2022"
"175","LMT","Lockheed Martin Corporation","Акции иностранного эмитента обыкновенные","US5398301094","10.08.2022"
"176","LOW","Lowe's Companies, Inc.","Акции иностранного эмитента обыкновенные","US5486611073","17.08.2022"
"177","LPX","Louisiana-Pacific Corporation","Акции иностранного эмитента обыкновенные","US5463471053","17.08.2022"
"178","LRCX","Lam Research Corporation","Акции иностранного эмитента обыкновенные","US5128071082","10.08.2022"
"179","LTHM","Livent Corporation","Акции иностранного эмитента обыкновенные","US53814L1089","10.08.2022"
"180","LULU","lululemon athletica inc.","Акции иностранного эмитента обыкновенные","US5500211090","17.08.2022"
"181","LUMN","Lumen Technologies, Inc.","Акции иностранного эмитента обыкновенные","US5502411037","10.08.2022"
"182","LUV","Southwest Airlines Co.","Акции иностранного эмитента обыкновенные","US8447411088","10.08.2022"
"183","LVS","Las Vegas Sands Corp.","Акции иностранного эмитента обыкновенные","US5178341070","10.08.2022"
"184","LYFT","Lyft, Inc.","Акции иностранного эмитента обыкновенные класса A","US55087P1049","10.08.2022"
"185","M","Macy's, Inc.","Акции иностранного эмитента обыкновенные","US55616P1049","10.08.2022"
"186","MA","Mastercard Incorporated","Акции иностранного эмитента обыкновенные класса A","US57636Q1040","10.08.2022"
"187","MAC","The Macerich Company","Акции иностранного эмитента обыкновенные","US5543821012","10.08.2022"
"188","MAR","Marriott International, Inc.","Акции иностранного эмитента обыкновенные класса A","US5719032022","17.08.2022"
"189","MAT","Mattel, Inc.","Акции иностранного эмитента обыкновенные","US5770811025","17.08.2022"
"190","MCD","McDonald's Corporation","Акции иностранного эмитента обыкновенные","US5801351017","10.08.2022"
"191","MCK","McKesson Corporation","Акции иностранного эмитента обыкновенные","US58155Q1031","10.08.2022"
"192","MDB","MongoDB, Inc.","Акции иностранного эмитента обыкновенные класса A","US60937P1066","10.08.2022"
"193","MDLZ","Mondelez International, Inc.","Акции иностранного эмитента обыкновенные класса A","US6092071058","17.08.2022"
"194","MET","MetLife, Inc.","Акции иностранного эмитента обыкновенные","US59156R1086","17.08.2022"
"195","MKC","McCormick & Company, Incorporated","Акции иностранного эмитента обыкновенные","US5797802064","17.08.2022"
"196","MO","Altria Group, Inc.","Акции иностранного эмитента обыкновенные","US02209S1033","10.08.2022"
"197","MOS","The Mosaic Company","Акции иностранного эмитента обыкновенные","US61945C1036","10.08.2022"
